k,E_ux,E_uy,E_uz
229.0,0.10811769097447436,0.11067833851120694,0.111097789065926
230.0,0.10796809695579124,0.10992530800092531,0.11113759647260296
231.0,0.10717673366724577,0.1092393370258902,0.11039206992611544
232.0,0.10830739614391123,0.10962667013691582,0.11085540794574707
233.0,0.10777930775699125,0.10919474782071097,0.11072502702561388
234.0,0.1078536894392009,0.10986889073872141,0.11061643634892467
235.0,0.10625198504812254,0.10857593012532134,0.10968395779642362
236.0,0.10743720987767685,0.10978396657130268,0.11056393735066147
237.0,0.1073619202210277,0.10917849241961934,0.11067907199130478
238.0,0.10664402869331933,0.10891007478246689,0.11007880095057879
239.0,0.10740832605560145,0.10946824162570748,0.11061401001754903
240.0,0.10702624033139614,0.10910307599237778,0.11028277950992917
241.0,0.10738372265981586,0.10972916513817833,0.11077781403899979
242.0,0.10738656519999569,0.10947013143417872,0.11094709004922229
243.0,0.10724665552560403,0.1098924107060803,0.1110266083779766
244.0,0.10801632785762826,0.10982579780979397,0.11137438807566917
245.0,0.10753597613150905,0.1099139359700132,0.11150133702868657
246.0,0.10711949677102586,0.10988865619980609,0.11167498861990356
247.0,0.10731142898735387,0.10990577016802609,0.1110281116939409
248.0,0.10773886952847726,0.1105337518617738,0.11199998596366254
249.0,0.10810503034921591,0.11043880279639508,0.11215577661218305
250.0,0.10780042517290614,0.11039142241047206,0.11238442746822878
251.0,0.1085072009401094,0.11087349836602141,0.1128149461002158
252.0,0.10899689156696807,0.11169239121100324,0.11307244262105329
253.0,0.10874445901091091,0.1114684947797736,0.11308061619064529
254.0,0.10882770207245666,0.11137570952828592,0.11345513020816339
255.0,0.10887111472514419,0.11145400024245246,0.11340830207365524
256.0,0.1099435365246687,0.11270741923814992,0.11439645933133433
257.0,0.1083867391045737,0.1107139445432811,0.11272707358356274
258.0,0.10712981319006933,0.10944137369833654,0.11149668054954134
259.0,0.10545175838658567,0.10806882442652328,0.11046649744861832
260.0,0.10445548798375963,0.10712328413383668,0.10888536703357296
261.0,0.10326596713373888,0.1061970532874771,0.10809950002511771
262.0,0.10158906534384031,0.1040592990637184,0.10619235281052956
263.0,0.1003996331520401,0.10324647750582838,0.1048271174297967
264.0,0.09902937231937257,0.101994522653693,0.10331024118379736
265.0,0.09822465820360457,0.10113888728063045,0.10305805305956839
266.0,0.09643259320590554,0.09944505473154636,0.10105087853160861
267.0,0.09551855658156727,0.09828729929387273,0.09998412543432901
268.0,0.09462692419645066,0.09734991006497547,0.09931548440412734
269.0,0.09360788675490832,0.0966508865856853,0.09806746169493681
270.0,0.09207031799298646,0.09492998456781115,0.09654767296894502
