k,Es1,Es2,Es3
301.0,1.3119905659946102e-05,1.3197338110206129e-05,1.3127738924923156e-05
302.0,1.2865163524152455e-05,1.2925620384121119e-05,1.2865121348216092e-05
303.0,1.2732854631924906e-05,1.2799153357539022e-05,1.2705345392701767e-05
304.0,1.2540760103625819e-05,1.2607826246189104e-05,1.2541927777559123e-05
305.0,1.2423442234078445e-05,1.2470890805706849e-05,1.242656400690029e-05
306.0,1.2215183094314669e-05,1.2329130520338928e-05,1.2267842307947435e-05
307.0,1.2070273961417608e-05,1.2108933684414485e-05,1.2069726517670547e-05
308.0,1.1919212504988272e-05,1.1997826167700142e-05,1.1941273380200267e-05
309.0,1.1798664835106577e-05,1.1839511306535675e-05,1.1786977719108392e-05
310.0,1.1605705340324238e-05,1.1641015825389579e-05,1.1625801979837765e-05
311.0,1.1461355804118958e-05,1.1517895104020948e-05,1.1488739280253345e-05
312.0,1.1336460715853925e-05,1.1405521405315054e-05,1.1329201494894713e-05
313.0,1.1142973983301545e-05,1.1223292796159245e-05,1.1166955148050634e-05
314.0,1.1059280041669487e-05,1.1145848976531387e-05,1.1080110487245769e-05
315.0,1.089708592302677e-05,1.0965201691238762e-05,1.089514737300303e-05
316.0,1.079731758747072e-05,1.082559202362947e-05,1.0768435760293545e-05
317.0,1.0588776203060149e-05,1.0620281364806233e-05,1.0569031110989217e-05
318.0,1.0551532004563329e-05,1.0633625726635512e-05,1.0585309989254597e-05
319.0,1.0335474990897584e-05,1.0390985733332598e-05,1.0332559113294248e-05
320.0,1.0246861583301358e-05,1.0314032904117917e-05,1.0226498907643791e-05
321.0,1.0156007280965917e-05,1.0226521013248248e-05,1.0176504783131868e-05
322.0,1.0001319322398157e-05,1.0055383376858957e-05,9.983847653740773e-06
323.0,9.880053001134684e-06,9.942279621409415e-06,9.870322396068623e-06
324.0,9.772903470904913e-06,9.7969708104417e-06,9.773643431817568e-06
325.0,9.664004581540121e-06,9.661248182788115e-06,9.647030019006945e-06
326.0,9.557246344287287e-06,9.584330018019404e-06,9.535566610706058e-06
327.0,9.417543067707021e-06,9.446790153349732e-06,9.415991549501137e-06
328.0,9.274265502366879e-06,9.335873078459785e-06,9.311327857093594e-06
329.0,9.209510248133006e-06,9.254390525157573e-06,9.189277720881143e-06
330.0,9.094607409349063e-06,9.136517163089356e-06,9.106982979696611e-06
331.0,8.9562638454578e-06,9.007583271762195e-06,8.957437170790927e-06
332.0,8.845598593687127e-06,8.898857306289419e-06,8.867802258233141e-06
333.0,8.772131105081349e-06,8.813558376915414e-06,8.764193346191384e-06
334.0,8.651581635457278e-06,8.653068043277559e-06,8.624386550094819e-06
335.0,8.571881230875674e-06,8.595423350918227e-06,8.566121886421878e-06
336.0,8.454497866757524e-06,8.503015589641302e-06,8.435620074431708e-06
337.0,8.37751460107291e-06,8.43509147408631e-06,8.372610325670388e-06
338.0,8.280632917379095e-06,8.327590278220503e-06,8.279777362906806e-06
339.0,8.15228575002431e-06,8.181381615859008e-06,8.145696213835168e-06
340.0,8.082751276395427e-06,8.127087651581196e-06,8.081958061886536e-06
341.0,8.016154417744068e-06,8.025891142153365e-06,7.983708850375939e-06
342.0,7.917731894682849e-06,7.941419378490467e-06,7.900316727366928e-06
343.0,7.806548904243862e-06,7.82015420272739e-06,7.776526193219803e-06
344.0,7.687822692246615e-06,7.725588371176546e-06,7.692829230902889e-06
345.0,7.661094594556719e-06,7.692050632267293e-06,7.643689686421087e-06
346.0,7.522133580186992e-06,7.547831459986641e-06,7.523328210988538e-06
347.0,7.453882309933298e-06,7.4706533899671944e-06,7.456825247868563e-06
348.0,7.380815961920478e-06,7.389837130468285e-06,7.35469686815575e-06
349.0,7.316621227120055e-06,7.324217290247605e-06,7.309394548719679e-06
350.0,7.23520514367177e-06,7.263441202681806e-06,7.221115364245809e-06
351.0,7.073585433184802e-06,7.082859397516691e-06,7.0662905782095415e-06
352.0,7.095160270071223e-06,7.117460591026734e-06,7.07613514092661e-06
353.0,6.9706674656771495e-06,6.997819050744496e-06,6.9672878367691175e-06
354.0,6.925957764788696e-06,6.947640403253814e-06,6.917095842077704e-06
355.0,6.822954251492701e-06,6.8516076696127194e-06,6.816503252347463e-06
356.0,6.7541436024884354e-06,6.7859928057359005e-06,6.749173504522326e-06
357.0,6.686867661390311e-06,6.695838314103733e-06,6.6616339725651835e-06
