k,E_Jx,E_Jy,E_Jz
344.0,2.528437876251541e-64,2.77863031946747e-64,2.7967728910483155e-64
345.0,2.4756827039483795e-64,2.7040614400963548e-64,2.7217759635878685e-64
346.0,2.3867510267573358e-64,2.6109183251763702e-64,2.6047316293251085e-64
347.0,2.3324977805014965e-64,2.5479708116193063e-64,2.5664214470607208e-64
348.0,2.2609301936893672e-64,2.4761724003119603e-64,2.480624325845221e-64
349.0,2.2062770069814727e-64,2.4148479289609514e-64,2.4115006059818153e-64
350.0,2.1166081227030946e-64,2.311231253770934e-64,2.3371639582349243e-64
351.0,2.048777346207419e-64,2.2484439926802685e-64,2.2568305374147023e-64
352.0,1.999743412473919e-64,2.1922950283055346e-64,2.1974520073623735e-64
353.0,1.9105033819626763e-64,2.1142400458529203e-64,2.1058723511797623e-64
354.0,1.8675621770694696e-64,2.0597760994293844e-64,2.0772851401426944e-64
355.0,1.7957059565587132e-64,1.9812778426854634e-64,1.9843264148533918e-64
356.0,1.7391137057750922e-64,1.927292464317377e-64,1.9332794306365772e-64
357.0,1.6703285593809334e-64,1.858324889092771e-64,1.8605196794192203e-64
358.0,1.592551833682615e-64,1.782454666809815e-64,1.7986912748576057e-64
359.0,1.5560424697618725e-64,1.7270661075551984e-64,1.7314008906523086e-64
360.0,1.4875118976691924e-64,1.660123470902761e-64,1.6798363194523495e-64
361.0,1.4371768849436116e-64,1.5958311180731288e-64,1.6225679110551724e-64
